occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
1278545,occ,,,169756,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278555,occ,,,169757,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278573,occ,,,169758,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278584,occ,,,169758,Cicatricosisporites microstriatus,species,277935,,Cicatricosisporites microstriatus,species,277935,Late Aptian,Early Albian,119.5,109.9,55420
1278595,occ,,,169759,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278597,occ,,,169759,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278626,occ,,,169761,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278627,occ,,,169761,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278645,occ,,,169762,Echinatisporis varispinosus,species,321447,,Echinatisporis varispinosus,species,321447,Late Aptian,Early Albian,119.5,109.9,55420
1278649,occ,,,169762,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278656,occ,,,169763,Cicatricosisporites microstriatus,species,277935,,Cicatricosisporites microstriatus,species,277935,Late Aptian,Early Albian,119.5,109.9,55420
1278664,occ,,,169763,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278677,occ,,,169764,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278678,occ,,,169764,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278684,occ,,,169765,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278739,occ,,,169767,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278756,occ,,,169769,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278770,occ,,,169770,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278780,occ,,,169771,Microfoveolatosporis daukiensis,species,321453,,Microfoveolatosporis daukiensis,species,321453,Late Aptian,Early Albian,119.5,109.9,55420
1278781,occ,,,169771,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278790,occ,,,169772,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278800,occ,,,169773,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278817,occ,,,169774,Matonisporites silvai,species,321452,,Matonisporites silvai,species,321452,Late Aptian,Early Albian,119.5,109.9,55420
1278818,occ,,,169774,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278835,occ,,,169775,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278849,occ,,,169776,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
1278863,occ,,,169777,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278874,occ,,,169778,Pilosisporites trichopapillosus,species,276490,,Pilosisporites trichopapillosus,species,276490,Late Aptian,Early Albian,119.5,109.9,55420
1278877,occ,,,169778,Matonisporites silvai,species,321452,,Matonisporites silvai,species,321452,Late Aptian,Early Albian,119.5,109.9,55420
1278878,occ,,,169778,Leptolepidites psarosus,species,277938,,Leptolepidites psarosus,species,277938,Late Aptian,Early Albian,119.5,109.9,55420
